link_id,number,topic,subtopic
111,1.1,Systems in organisations,Planning and system installation
112,1.1,Systems in organisations,User focus
113,1.1,Systems in organisations,System backup
114,1.1,Systems in organisations,Software deployment
121,1.2,System design basics,Components of a computer system
122,1.2,System design basics,System design and analysis
123,1.2,System design basics,Human interaction with the system
211,2.1,Computer organisation,Computer architecture
212,2.1,Computer organisation,Secondary memory
213,2.1,Computer organisation,OS and application systems
214,2.1,Computer organisation,Binary representation
215,2.1,Computer organisation,Simple logic gates
311,3.1,Networks,Network fundamentals
312,3.1,Networks,Data transmission
313,3.1,Networks,Wireless networking
411,4.1,CT General principles,Thinking procedurally
412,4.1,CT General principles,Thinking logically
413,4.1,CT General principles,Thinking ahead
414,4.1,CT General principles,Thinking concurrently
415,4.1,CT General principles,Thinking abstractly
420,4.2,Connecting CT and program design,Connecting CT and program design
431,4.3,Intro to programming,Nature of programming languages
432,4.3,Intro to programming,Use of programming languages
511,5.1,Abstract data structures (HL),Recursion
512,5.1,Abstract data structures (HL),Abstract data structures
513,5.1,Abstract data structures (HL),Linked lists
514,5.1,Abstract data structures (HL),Trees
515,5.1,Abstract data structures (HL),Applications
611,6.1,Resource Mgmt (HL),System resources
612,6.1,Resource Mgmt (HL),Role of the OS
711,7.1,Control (HL),Centralised
712,7.1,Control (HL),Distributed
A0,A,Databases,Databases
B1,B.1,Basic model,Basic model
B2,B.2,Simulations,Simulations
B3,B.3,Visualisation,Visualisation
B4,B.4,Communication,Communication
C0,C,Web science,Web science
D1,D.1,Objects,Objects
D2,D.2,Features of OOP,Features of OOP
D3,D.3,Program development,Program development
D4,D.4,Advanced program development (HL),Advanced program development (HL)
